model,phrase,note
Opus 5,Co-Authored-By: Claude Opus 5,
Fable 5,Co-Authored-By: Claude Fable 5,
Sonnet 5,Co-Authored-By: Claude Sonnet 5,
Opus 4.8,Co-Authored-By: Claude Opus 4.8,
Opus 4.7,Co-Authored-By: Claude Opus 4.7,
Opus 4.6,Co-Authored-By: Claude Opus 4.6,
Sonnet 4.6,Co-Authored-By: Claude Sonnet 4.6,
Opus 4.5,Co-Authored-By: Claude Opus 4.5,
Sonnet 4.5,Co-Authored-By: Claude Sonnet 4.5,
Sonnet 4,Co-Authored-By: Claude Sonnet 4 <noreply@anthropic.com>,email needed: the bare phrase also matches Sonnet 4.5 and 4.6
Haiku 4.5,Co-Authored-By: Claude Haiku 4.5,
Unnamed,Co-Authored-By: Claude <noreply@anthropic.com>,commits from before the trailer named the model
